Name,WikiTitle,WikiPageId
Alexandre Aja,Q528132,4404648
Jo Matumoto,Q6148459,9689568
Calvin Murphy,Q1027716,1156644
Abraham Cooper,Q329878,2475984
Liam Fox,Q332374,357375
Craig Shipley,Q5181444,8802345
Victor Young,Q365199,609854
Anthony Lewis,Q573532,773078
George M. Whitesides,Q701501,5573528
Mike Downey,Q6846613,15500777
Diana Taurasi,Q240726,740534
Robert Beltran,Q367549,535287
Hannah Gruen,Q5648841,8512196
Lynn Scarlett,Q6709193,4748310
Jack Thorpe,Q17029660,21941686
Xie Jun,Q255142,220780
Paul Menard,Q2879369,2036596
Robert Nardelli,Q1409655,10034938
George Knightley,Q5541396,20670544
Billy Al Bengston,Q4912103,12571047
Becky Hammon,Q240690,1127047
Holly Peterson,Q5882210,12149131
Trude Fleischmann,Q87807,38831621
Alpha Oumar Konare,Q313239,726928
Butch Davis,Q5002379,2738333
Henry Steele Commager,Q3785004,321860
Lillian Roberts,Q6548191,6193684
Frankie Brown,Q5490923,36996786
